"","date","close","volume","open","high","low"
"1",2016-12-30,115.82,30555900,116.65,117.2,115.43
"2",2016-12-29,116.73,14979680,116.45,117.1095,116.4
"3",2016-12-28,116.76,20686510,117.52,118.0166,116.2
"4",2016-12-27,117.26,18131970,116.52,117.8,116.49
"5",2016-12-23,116.52,14244050,115.59,116.52,115.59
"6",2016-12-22,116.29,26043820,116.35,116.51,115.64
"7",2016-12-21,117.06,23724430,116.8,117.4,116.78
"8",2016-12-20,116.95,21337310,116.74,117.5,116.68
"9",2016-12-19,116.64,27756760,115.8,117.38,115.75
"10",2016-12-16,115.97,44284660,116.47,116.5,115.645
"11",2016-12-15,115.82,46286150,115.38,116.73,115.23
"12",2016-12-14,115.19,33962370,115.04,116.2,114.98
"13",2016-12-13,115.19,43293350,113.84,115.92,113.75
"14",2016-12-12,113.3,26176690,113.29,115,112.49
"15",2016-12-09,113.95,34324350,112.31,114.7,112.31
"16",2016-12-08,112.12,27049830,110.86,112.43,110.6
"17",2016-12-07,111.03,29976030,109.26,111.19,109.16
"18",2016-12-06,109.95,26160560,109.5,110.36,109.19
"19",2016-12-05,109.11,34113880,110,110.03,108.25
"20",2016-12-02,109.9,26481320,109.17,110.09,108.85
"21",2016-12-01,109.49,37034520,110.365,110.94,109.03
"22",2016-11-30,110.52,36151450,111.6,112.2,110.27
"23",2016-11-29,111.46,28507780,110.78,112.03,110.07
"24",2016-11-28,111.57,27054320,111.43,112.465,111.39
"25",2016-11-25,111.79,11475920,111.13,111.87,110.95
"26",2016-11-23,111.23,27420550,111.36,111.51,110.33
"27",2016-11-22,111.8,25931710,111.95,112.42,111.4
"28",2016-11-21,111.73,29164190,110.12,111.99,110.01
"29",2016-11-18,110.06,28310840,109.72,110.54,109.66
"30",2016-11-17,109.95,27623150,109.81,110.35,108.83
"31",2016-11-16,109.99,58724080,106.7,110.23,106.6
"32",2016-11-15,107.11,32230590,106.57,107.68,106.1593
"33",2016-11-14,105.71,50901380,107.71,107.809,104.08
"34",2016-11-11,108.43,34117030,107.12,108.87,106.55
"35",2016-11-10,107.79,57097740,111.09,111.09,105.83
"36",2016-11-09,110.88,59118740,109.88,111.32,108.05
"37",2016-11-08,111.06,24129630,110.31,111.72,109.7
"38",2016-11-07,110.41,32361930,110.08,110.51,109.46
"39",2016-11-04,108.84,30790930,108.53,110.25,108.11
"40",2016-11-03,109.83,26538700,110.98,111.46,109.55
"41",2016-11-02,111.59,28174980,111.4,112.35,111.23
"42",2016-11-01,111.49,43403760,113.46,113.77,110.53
"43",2016-10-31,113.54,26378910,113.65,114.23,113.2
"44",2016-10-28,113.72,36792100,113.87,115.21,113.45
"45",2016-10-27,114.48,31396130,115.39,115.86,114.1
"46",2016-10-26,115.59,66028640,114.31,115.7,113.31
"47",2016-10-25,118.25,46820600,117.95,118.36,117.31
"48",2016-10-24,117.65,23492650,117.1,117.74,117
"49",2016-10-21,116.6,22527690,116.81,116.91,116.28
"50",2016-10-20,117.06,24100150,116.86,117.38,116.33
"51",2016-10-19,117.12,19977160,117.25,117.76,113.8
"52",2016-10-18,117.47,24308210,118.18,118.21,117.45
"53",2016-10-17,117.55,23583810,117.33,117.84,116.78
"54",2016-10-14,117.63,35626020,117.88,118.17,117.13
"55",2016-10-13,116.98,35041820,116.79,117.44,115.72
"56",2016-10-12,117.34,37512930,117.35,117.98,116.75
"57",2016-10-11,116.3,63963010,117.7,118.69,116.2
"58",2016-10-10,116.05,36087910,115.02,116.75,114.72
"59",2016-10-07,114.06,24336440,114.31,114.56,113.51
"60",2016-10-06,113.89,28508710,113.7,114.34,113.13
"61",2016-10-05,113.05,21400410,113.4,113.66,112.69
"62",2016-10-04,113,29707270,113.06,114.31,112.63
"63",2016-10-03,112.52,21634520,112.71,113.05,112.28
"64",2016-09-30,113.05,36340670,112.46,113.37,111.8
"65",2016-09-29,112.18,35850010,113.16,113.8,111.8
"66",2016-09-28,113.95,29608390,113.69,114.64,113.43
"67",2016-09-27,113.09,24587490,113,113.18,112.34
"68",2016-09-26,112.88,29800240,111.64,113.39,111.55
"69",2016-09-23,112.71,52411070,114.42,114.79,111.55
"70",2016-09-22,114.62,31048170,114.35,114.94,114
"71",2016-09-21,113.55,35951900,113.85,113.989,112.441
"72",2016-09-20,113.57,34494150,113.05,114.12,112.51
